id;codigo;producto;garantia;precio_publico;precio_gremio;stock;image_url;created_at;updated_at;created_by;precio_total;categoria;sub_categoria;Es_Nuevo?
ff0c373a-6309-407e-940b-65ec1b4887c6;HW-20251201-182744-3050003;ADAPTADOR BLUETOOTH 5,0 UB500 PLUS  TPLINK;180;11791.61;9826.36;1;http://190.183.223.6/gold/images/varios/UB500PLUS.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;11301;Conectividad / Redes;Adaptadores Bluetooth;NO
c84b9e75-845f-43ec-b4ca-9b77947a3b29;HW-20251201-182744-8610002;ADAPTADOR BLUETOOTH 5,3 MA530 MERCUSYS;180;6657.04;5547.49;1;http://190.183.223.6/gold/images/varios/MA530.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;6380;Conectividad / Redes;Adaptadores Bluetooth;NO
42b842f8-5232-4be0-89c0-73db6ca8b4fa;HW-20251201-182744-1740001;ADAPTADOR DVI (MACHO) A HDMI (HEMBRA);0;6173.85;5144.85;1;http://190.183.223.6/gold/images/varios/DVIHDMI.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;5917;Accesorios / Otros;Cables / Accesorios varios;NO
5fc2e615-2e8b-40aa-9dc8-c491299956c3;HW-20251201-182744-6900000;ADAPTADOR PAD NUMERICO GENIUS USB 110;180;18533.61;15444.70;1;https://www.geniusnet.com/upload/es/common/PIC_2024123008_0ed916376.webp;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;17762;Accesorios / Otros;Cables / Accesorios varios;NO
0ceed603-4b52-47b5-83ea-0386dcc4a9a1;HW-20251201-182744-8630004;ADAPTADOR USB-C A HDMI 4K 60MHZ   TPLINK;180;29529.65;24608.09;1;https://static.tp-link.com/upload/image-line/UA520C_UN_1.0_overview_01_normal_20241015064352y.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;28300;Accesorios / Otros;Cables / Accesorios varios;NO
b09a4442-b270-446e-ad55-3f613e518817;HW-20251201-182744-7190011;AURICULAR   GENIUS   HS-M300 microfono manos libres  VARIOS COLORES;15;15043.54;12536.31;1;http://190.183.223.6/gold/images/HS-m300.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;14417;Periféricos;auriculares;NO
a8af1cb6-03e1-4f4d-981f-dee8565780dc;HW-20251201-182744-4020015;AURICULAR  CON MICROFONO  NOGANET NG-55VL 1 jack;15;18187.28;15156.14;1;http://190.183.223.6/gold/images/varios/NG-55VL.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;17430;Periféricos;auriculares;NO
c348dcdc-1e9a-42a8-94bf-7ce2a505fe05;HW-20251201-182744-2100012;AURICULAR  CON MICROFONO  NOGANET X-2670BL 1 jack;15;18187.28;15156.14;1;http://190.183.223.6/gold/images/varios/X-2670BL.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;17430;Periféricos;auriculares;NO
35d86101-f154-45de-971b-e6da31cf57ae;HW-20251201-182744-9790013;AURICULAR  CON MICROFONO  NOGANET X-2670RJ 1 jack;15;18187.28;15156.14;1;http://190.183.223.6/gold/images/varios/X-2670RJ.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;17430;Periféricos;auriculares;NO
25c364de-e5e0-48d6-bfcb-8c5bf7b76d72;HW-20251201-182744-9550014;AURICULAR  CON MICROFONO  NOGANET X-2670RS 1 jack;15;18187.28;15156.14;1;http://190.183.223.6/gold/images/varios/X-2670RS.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;17430;Periféricos;auriculares;NO
52e493bd-0f3f-4f71-920a-0ad74be202d3;HW-20251201-182744-0620010;AURICULAR PLEGABLES  HEADSET GENIUS BLUETOOTH HS-810BT BLACK;30;40087.34;33406.19;1;http://190.183.223.6/gold/images/varios/HS-810BT.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;38418;Periféricos;auriculares;NO
afd895ac-7ff1-4415-a475-6560fe9de0cd;HW-20251201-182744-1910005;AURICULAR Y MICROFONO  GENIUS  HS-300N;15;16246.44;13538.70;1;http://190.183.223.6/gold/images/varios/HS-300N.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;15570;Periféricos;Auriculares;NO
601a54ea-737b-4823-a183-19f5fb927b1f;HW-20251201-182744-8070009;AURICULAR Y MICROFONO  GENIUS  HS-GX580U RGB LED USB;30;39481.70;32901.39;1;http://190.183.223.6/gold/images/varios/HS-GX580U.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;37837;Periféricos;auriculares;NO
cea8bbb7-002b-4c0d-9f29-8c952cb8be54;HW-20251201-182744-7500007;AURICULAR Y MICROFONO  GENIUS  HS-M200C SINGLE JACK;15;9328.62;7773.80;1;http://190.183.223.6/gold/images/varios/HS-m200C.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;8940;Periféricos;Auriculares;NO
2dc8a452-4c3d-4733-a8b3-025db0b52a8f;HW-20251201-182744-7440008;AURICULAR Y MICROFONO  HEADSET HS-100U USB;15;21906.23;18255.20;1;http://190.183.223.6/gold/images/varios/HS-100U.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;20994;Periféricos;auriculares;NO
ac24b014-263d-4d49-8e99-28dbb326f843;HW-20251201-182744-3500006;AURICULAR Y MICROFONO  NEW GENIUS  HS-04SU;15;29861.43;24884.45;1;http://190.183.223.6/gold/images/varios/HS04US.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;28618;Periféricos;Auriculares;NO
dde675e3-5c7d-4ca1-a5c2-baac2af11042;HW-20251201-182744-6910018;BASE COOLER TRUST AZUL STAND NOTEBOOK;30;58539.52;48782.98;1;https://d1gb7gicmr8iau.cloudfront.net/fit-in/1200x900/Media/Images/Product/Visual/20104_pictures_product_visual_1.png;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;56101;Componentes;Refrigeración;NO
8ffc8a0a-0462-4ff1-b5c9-d168d51d2ea2;HW-20251201-182744-5620017;BASE COOLER TRUST KUZO STAND NOTEBOOK GXT 220;30;47900.83;39917.26;1;https://http2.mlstatic.com/D_NQ_NP_2X_824855-MLA96663164749_102025-F.webp;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;45905;Componentes;Refrigeración;NO
2fd54e34-c5ad-4f01-a367-bca161f8b986;HW-20251201-182744-1460016;BATERIA 12V 7,0A UPS/ ALARMA   TRV;0;53167.40;44306.09;1;http://190.183.223.6/gold/images/varios/probatery7a.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;50953;Accesorios / Otros;UPS / Protectores;NO
70e14ff2-b9c6-4798-abe4-efc67561c176;HW-20251201-182744-9750021;BOBINA CABLE EXTERIOR KELYX UTP X 300 MTS   CAT 5E;15;153965.89;128304.83;1;http://190.183.223.6/gold/images/cable/cablered.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;147551;Conectividad / Redes;Cables y adaptadores varios;NO
03fbed43-eb6f-45e0-acfc-d50bb27db022;HW-20251201-182744-2550019;BOBINA CABLE INTERIOR  KELYX UTP  X 305 MTS;15;114321.02;95267.47;1;http://190.183.223.6/gold/images/cable/bobinakelyx.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;109558;Conectividad / Redes;Cables y adaptadores varios;NO
bf71511b-6ffd-45fc-95cb-3c0d53c6ad71;HW-20251201-182744-5280020;BOBINA CABLE SFX INTERIOR  UTP CAT 5E X 300 MTS;15;122028.08;101690.04;1;http://190.183.223.6/gold/images/cable/cableredSFX.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;116944;Conectividad / Redes;Cables y adaptadores varios;NO
d87f3164-9e96-46b1-9529-3b1005724494;HW-20251201-182744-2500024;CABLE  TYPE-C MAYADO    USB 3.2 a Type C 3A 60W 1mt;15;5969.23;4974.33;1;http://190.183.223.6/gold/images/cable/cabletypec.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;5721;Conectividad / Redes;Cables y adaptadores varios;NO
a32c7c61-02dc-425f-9183-df14b60c76e3;HW-20251201-182744-0010033;CABLE CELL ADATA ANDROID USB a MICRO USB;15;8868.51;7390.43;1;http://190.183.223.6/gold/images/cable/cablecellADATA.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;8499;Conectividad / Redes;Cables y adaptadores varios;NO
1e8a6388-9e83-4b3d-bbfd-21c1205fa727;HW-20251201-182744-9410041;CABLE DISPLAY PORT  1.4 4K a 120Hz / 8K 60Hz 48Gbps 1.5;0;10659.26;8882.62;1;http://190.183.223.6/gold/images/cable/cablesDISPLAYPORT.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;10216;Conectividad / Redes;Cables y adaptadores varios;NO
57086672-d81c-4ce4-a1c0-e2c9bb836870;HW-20251201-182744-8450022;CABLE EXTENSION ANTENA 12 MTS TP-LINK TL-ANT24EC12N  ROSCA N;720;26491.31;22076.02;1;http://190.183.223.6/gold/images/cable/TL-ANT24EC5S.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;25388;Conectividad / Redes;Cables y adaptadores varios;NO
2c2dd4be-b2d3-4a26-8a76-559ae78da875;HW-20251201-182744-3500036;CABLE HDMI  A HDMI 1,5MTS 1,4v  1080P;0;2611.46;2176.19;1;http://190.183.223.6/gold/images/cable/cableshdmi.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;2503;Conectividad / Redes;Cables y adaptadores varios;NO
10fae94b-52ac-4bc9-87d7-e68db9b03cdf;HW-20251201-182744-9380037;CABLE HDMI  A HDMI 1,5MTS 4k;0;3357.63;2798.00;1;http://190.183.223.6/gold/images/cable/cableshdmi.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;3218;Conectividad / Redes;Cables y adaptadores varios;NO
c79f4845-9af8-46c1-aee9-debff75afb51;HW-20251201-182744-0580040;CABLE HDMI  A HDMI 10MTS;0;15402.51;12835.45;1;http://190.183.223.6/gold/images/cable/cableshdmi.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;14761;Conectividad / Redes;Cables y adaptadores varios;NO
66a36fbc-496c-49c1-8ef6-c947834c2e2c;HW-20251201-182744-2740038;CABLE HDMI  A HDMI 3MTS   4k;15;5276.27;4396.92;1;http://190.183.223.6/gold/images/cable/cableshdmi3.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;5057;Conectividad / Redes;Cables y adaptadores varios;NO
59ad38b6-0a4c-4d95-86e9-5ee175c253ce;HW-20251201-182744-1480039;CABLE HDMI  A HDMI 5MTS 4k;15;6528.71;5440.62;1;http://190.183.223.6/gold/images/cable/cableshdmi.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;6257;Conectividad / Redes;Cables y adaptadores varios;NO
